,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1373,10/04/2019 11:02,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,50,,0,,0,,0,1.946,1.2549,2.1233,0.3836,14.4986,0.3821,0.0629,0.0233,3.096,0.0561,0.6881,0.0332,1.688,0.0269,7.9383,0.0501,0.1421,0.0086,< LOD,0.0104,< LOD,0.0047,< LOD,0.0044,1.6022,0.0305,< LOD,0.0044,< LOD,0.0009,0.0013,0.0006,0.0009,0.0005,< LOD,0.0006,0.0014,0.0006,< LOD,0.0003,0.0043,0.0006,0.0336,0.0023,< LOD,0.001,< LOD,0.0019,< LOD,0.0028,< LOD,0.0021,< LOD,0.0019,0.0029,0.0027,< LOD,0.0013,< LOD,0.0011,< LOD,0.0024,< LOD,0.0071,< LOD,0.0014,0.0085,0.0076,< LOD,0.0145,0.0173,0.0168,< LOD,0.0328,< LOD,0.0034,< LOD,0.0049,< LOD,0.0032,< LOD,0.0012,< LOD,0.0007,0.0021,0.0011,< LOD,0.0014,< LOD,0.0016,< LOD,0.0035,Passed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1374,10/04/2019 11:04,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,50,,0,,0,,0,1.9597,1.2361,2.7375,0.4008,16.479,0.4045,0.0494,0.0224,2.3685,0.0494,0.2369,0.027,1.8575,0.028,8.0319,0.0503,0.1424,0.0083,< LOD,0.0111,< LOD,0.0043,0.0047,0.0044,1.72,0.0314,< LOD,0.0044,< LOD,0.001,0.0011,0.0007,0.0007,0.0006,< LOD,0.0007,0.0008,0.0007,< LOD,0.0003,0.0049,0.0007,0.0295,0.0021,< LOD,0.0009,< LOD,0.0017,< LOD,0.0025,< LOD,0.0019,< LOD,0.0018,0.0025,0.0024,< LOD,0.0016,< LOD,0.0013,< LOD,0.0028,< LOD,0.0065,< LOD,0.0017,< LOD,0.0094,< LOD,0.0174,< LOD,0.0213,< LOD,0.0273,< LOD,0.0028,< LOD,0.0052,< LOD,0.0021,< LOD,0.0011,< LOD,0.001,0.0024,0.0013,< LOD,0.0015,< LOD,0.0014,< LOD,0.0027,Passed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1375,10/04/2019 11:09,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,36,,0,,0,,0,1.5378,1.5229,3.7093,0.505,20.5859,0.5128,0.0551,0.0289,2.3969,0.0568,0.147,0.0293,2.3503,0.0358,10.2291,0.0644,0.1829,0.0102,< LOD,0.0153,< LOD,0.0067,0.0068,0.0061,2.3615,0.0461,< LOD,0.0063,< LOD,0.0012,< LOD,0.0009,0.0013,0.0009,< LOD,0.0009,0.0015,0.0012,< LOD,0.0003,0.0043,0.0009,0.0277,0.0026,< LOD,0.0012,0.0026,0.0022,< LOD,0.003,< LOD,0.0022,< LOD,0.0022,< LOD,0.0029,< LOD,0.0022,< LOD,0.0018,< LOD,0.0041,< LOD,0.0082,< LOD,0.0026,< LOD,0.0129,< LOD,0.0267,< LOD,0.0306,< LOD,0.0336,< LOD,0.0034,< LOD,0.0069,< LOD,0.0029,< LOD,0.0013,< LOD,0.0011,0.0047,0.0022,< LOD,0.0017,< LOD,0.0017,< LOD,0.0032,Passed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
1376,10/04/2019 11:13,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,36,,0,,0,,0,2.0498,1.5194,4.6673,0.5273,22.5124,0.5335,0.0299,0.0259,1.8265,0.0499,0.0526,0.0272,2.5191,0.0369,8.326,0.0578,0.2293,0.0106,< LOD,0.0168,< LOD,0.0067,< LOD,0.0057,2.1649,0.0432,< LOD,0.006,< LOD,0.0014,< LOD,0.0009,0.0009,0.0007,< LOD,0.0009,0.0011,0.001,0.0005,0.0003,0.0058,0.001,0.0221,0.0023,0.0018,0.0012,0.0098,0.0024,< LOD,0.0032,< LOD,0.0022,< LOD,0.0022,< LOD,0.0029,< LOD,0.0018,< LOD,0.0038,< LOD,0.0083,< LOD,0.0025,0.0135,0.0131,< LOD,0.0253,< LOD,0.0285,< LOD,0.0341,< LOD,0.004,< LOD,0.0065,< LOD,0.0011,< LOD,0.0029,< LOD,0.0016,< LOD,0.0009,0.002,0.0015,< LOD,0.0019,< LOD,0.0016,< LOD,0.0031,Passed,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,,,
1377,10/04/2019 11:15,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,50,,0,,0,,0,1.7247,1.3529,5.0296,0.4861,24.9634,0.505,0.0629,0.0254,1.8745,0.0457,0.0662,0.0249,2.7283,0.0347,9.3765,0.0552,0.2265,0.0096,< LOD,0.0124,< LOD,0.005,0.005,0.0049,2.1764,0.0358,< LOD,0.005,< LOD,0.0011,0.0011,0.0008,0.0015,0.0007,< LOD,0.0007,0.0008,0.0007,< LOD,0.0003,0.0058,0.0008,0.0221,0.0018,0.0014,0.0009,0.0095,0.0018,< LOD,0.0024,< LOD,0.0017,< LOD,0.0018,< LOD,0.0023,< LOD,0.0013,< LOD,0.0029,< LOD,0.0067,< LOD,0.0018,0.0118,0.0096,< LOD,0.0197,< LOD,0.0212,< LOD,0.0288,< LOD,0.0032,< LOD,0.0051,< LOD,0.0019,< LOD,0.0012,< LOD,0.0009,0.0034,0.0015,< LOD,0.0014,< LOD,0.0015,< LOD,0.0022,Passed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,,,,,
1378,10/04/2019 11:18,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,50,,0,,0,,0,1.9021,1.3413,4.6258,0.469,24.428,0.4963,0.0483,0.0222,2.7235,0.0532,0.2811,0.0278,2.559,0.0335,5.6386,0.0426,0.2543,0.0098,< LOD,0.0129,< LOD,0.0053,< LOD,0.0045,1.9697,0.0329,< LOD,0.0048,< LOD,0.0009,< LOD,0.0006,0.0012,0.0005,< LOD,0.0006,0.0006,0.0005,< LOD,0.0003,0.0061,0.0007,0.0254,0.002,0.0015,0.001,0.0103,0.0021,< LOD,0.0028,< LOD,0.0021,< LOD,0.002,0.0029,0.0027,< LOD,0.0011,< LOD,0.0024,< LOD,0.0074,< LOD,0.0015,0.0099,0.0085,< LOD,0.0152,< LOD,0.0168,< LOD,0.0257,< LOD,0.0035,< LOD,0.0047,< LOD,0.0013,< LOD,0.0009,0.002,0.0011,< LOD,0.0016,< LOD,0.0018,< LOD,0.0031,Passed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
1379,10/04/2019 11:20,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,36,,0,,0,,0,1.7005,1.5686,5.0986,0.547,25.7442,0.5726,0.0431,0.0255,2.8864,0.0614,0.3259,0.0319,2.7393,0.0389,5.9151,0.0489,0.2716,0.0112,< LOD,0.0164,< LOD,0.0072,< LOD,0.0058,2.0476,0.0413,< LOD,0.0061,< LOD,0.001,< LOD,0.0007,0.0013,0.0006,< LOD,0.0007,< LOD,0.0007,< LOD,0.0005,0.0069,0.0009,0.0276,0.0026,< LOD,0.0013,0.0114,0.0027,< LOD,0.0036,< LOD,0.0027,< LOD,0.0026,< LOD,0.0036,< LOD,0.0016,< LOD,0.0014,< LOD,0.003,< LOD,0.0096,< LOD,0.0018,0.0107,0.0105,< LOD,0.0191,< LOD,0.0211,< LOD,0.032,< LOD,0.0041,< LOD,0.0052,< LOD,0.0028,< LOD,0.0036,< LOD,0.0015,< LOD,0.0009,0.002,0.0013,< LOD,0.0019,0.0025,0.0023,< LOD,0.0036,Passed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,,,
1380,10/04/2019 11:21,Supervisor,LST12,Q,Q,Q,GeoExploration,Oxide3phase,27,,0,,0,,0,< LOD,1.6898,5.3686,0.6358,26.1217,0.6655,0.052,0.0298,2.879,0.071,0.311,0.0369,2.723,0.0451,5.9226,0.0567,0.2691,0.013,< LOD,0.019,< LOD,0.0083,< LOD,0.0069,2.0458,0.0494,< LOD,0.0073,< LOD,0.0012,< LOD,0.0008,0.0009,0.0007,< LOD,0.0009,< LOD,0.0008,< LOD,0.0004,0.0071,0.001,0.027,0.0028,< LOD,0.0015,0.0107,0.003,< LOD,0.004,< LOD,0.0029,< LOD,0.003,< LOD,0.002,< LOD,0.0015,< LOD,0.0034,< LOD,0.0108,< LOD,0.0021,< LOD,0.0116,< LOD,0.0207,0.027,0.0236,< LOD,0.047,< LOD,0.0057,< LOD,0.0062,< LOD,0.0027,< LOD,0.0021,< LOD,0.0011,0.0026,0.0015,< LOD,0.0019,< LOD,0.0022,< LOD,0.0039,Passed,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Name,ID,Field1,Field2,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check,,
